,ID,Name,Short_Name,strength_overall
0,1,Arsenal,ARS,1235.0
1,2,Aston Villa,AVL,1095.0
2,3,Bournemouth,BOU,1050.0
3,4,Brentford,BRE,1095.0
4,5,Brighton,BHA,1095.0
5,6,Chelsea,CHE,1275.0
6,7,Crystal Palace,CRY,1095.0
7,8,Everton,EVE,1075.0
8,9,Fulham,FUL,1050.0
9,10,Leicester,LEI,1175.0
10,11,Leeds,LEE,1070.0
11,12,Liverpool,LIV,1355.0
12,13,Man City,MCI,1360.0
13,14,Man Utd,MUN,1210.0
14,15,Newcastle,NEW,1150.0
15,16,Nott'm Forest,NFO,1050.0
16,17,Southampton,SOU,1075.0
17,18,Spurs,TOT,1240.0
18,19,West Ham,WHU,1140.0
19,20,Wolves,WOL,1100.0
